1. Adagala Beatrice Kahai, VIHIGA COUNTY, ANC - YES
2. Denar Joseph Hamisi, NOMINATED, ANC - YES
3. Gimose Charles Gumini, HAMISI, ANC - ABSENT
4. Ikana Fredrick Lusuli, SHINYALU, ANC - YES
5. Injendi Moses Malulu, MALAVA, ANC - YES
6. Kivai Ernest Ogesi, VIHHIGA, ANC - YES
7. Omboko Milemba Jeremiah, EMUHAYA, ANC - NO
8. Tandaza Kassim Sawa, MATUGA, ANC - ABSENT
9. Koech Victor Kipngetich, CHEPALUNGU, CCM - ABSENT
10. Baraza Patrick Simiyu, CHERANGANY, DAP K - NO
11. Bisau Maurice Kakai, KIMININI, DAP K - NO
12. Oyugi Dick Maungu, LUANDA, DAP K - NO
13. Salasya Peter Kalerwa, MUMIAS EAST, DAP K - ABSENT
14. Wamboka Nelson Jack, BUMULA, DAP K - NO
15. Ruku, Geoffrey Kariuki Kiringa, MBEERE NORTH, DP - NO
16. Kalasinga, Joseph Simiyu Wekesa Majimbo, KABUCHAI, FORD-K - ABSENT
17. Makali, John Okwisia, KANDUYI, FORD K - YES
18. Murumba, John Chikati, TONGAREN, FORD K - NO
19. Wambilianga, Catherine Nanjala, BUNGOMA COUNTY, FORD-K - ABSENT
20. Wanyonyi, Ferdinand Kevin, KWANZA, FORD K - YES
21. Wanyonyi, Martin Pepela, WEBUYE WEST, FORD K - YES
22. Muli, Fabian Kyule, KANGUNDO, GDDP - ABSENT
23. Abdul, Rahim Dawood, NORTH IMENTI, IND - YES
24. Ahmed, Shakeel Ahmed Shabbir, KISUMU EAST, IND - NO
25. Caroline, Jeptoo Ng’elechei, ELGEYO MARAKWET, IND - YES
26. Karauri, Ronald Kamwiko, KASARANI, IND - ABSENT
27. Kitilai, Ole Ntutu, NAROK SOUTH, INDEPENDENT - YES
28. Kururia, Elijah Njore Njoroge, GATUNDU NORTH, IND - ABSENT
29. Marubu, Monicah Muthoni, LAMU COUNTY, IND - ABSENT
30. Mohammed, Fatuma Full Network, MIGORI COUNTY, IND - NO
31. Mulanya, Geoffrey Ekesa, NAMBALE, IND - YES
32. Mwalyo, Joshua Mbithi Mutua, MASINGA, IND - YES
33. Nebart, Bernard Muriuki, MBEERE SOUTH, IND - YES
34. Timothy Kipchumba, MARAKWET WEST, IND - YES
35. Abdirahman, Mohamed Abdi, LAFEY, JUBILEE - YES
36. Arama, Samuel, NAKURU TOWN WEST, JUBILEE - YES
37. Bonaya, Mumina Gollo, ISIOLO COUNTY, JUBILEE - ABSENT
38. Chege, Sabina, NOMINATED, JUBILEE - SUSPENDED
39. Hassan, Abdi Yusuf, KAMUKUNJI, JUBILEE - YES
40. Ithinji, Dr. Shadrack Mwiti, SOUTH IMENTI, JUBILEE - YES
41. Karitho, Kiili Daniel, IGEMBE CENTRAL, JUBILEE - YES
42. Kiaraho, David Njuguna, OL KALOU, JUBILEE - YES
43. Korere, Sarah Paulata, LAIKIPIA NORTH, JUBILEE - ABSENT
44. Koyi, John Waluke, SIRISIA, JUBILEE - YES
45. Kwenya, Thuku Zachary, KINANGOP, JUBILEE - YES
46. Lomwa, Joseph Samal, ISOLO NORTH, JUBILEE - ABSENT
47. Maina, Mwago Amos, STAREHE, JUBILEE - YES
48. Mogaka, Stephen M., WEST MUGIRANGO, JUBILEE - YES
49. Mohamed, Aden Daudi, WAJIR EAST, JUBILEE - YES
50. Jerusha Momanyi, NYAMIRA COUNTY, ABSENT - JUBILEE
51. Mrembo, Irene Njoki, BAHATI, JUBILEE - YES
52. Muiruri, Muthama Stanley, LAMU WEST, JUBILEE - ABSENT
53. Mwenje, Mark Muriithi, EMBAKASI WEST, JUBILEE - NO
54. Ngikolong, Nicholas, TURKANA EAST, JUBILEE - YES
55. Nyamai, Rachael Kaki, KITUI SOUTH, JUBILEE - YES
56. Obo, Ruweida Mohamed, LAMU EAST, JUBILEE - ABSENT
57. Pareiyo, Agnes Mantaine, NAROK NORTH, JUBILEE - YES
58. Shake, Peter Mbogho, MWATATE, JUBILEE - NO
59. Shurie, Abdi Omar, BALAMBALA, JUBILEE - ABSENT
60. Siyad, Amina Udgoon, GARISSA, JUBILEE - ABSENT
61. Tubi, Bidu Mohamed, ISIOLO SOUTH, JUBILEE - ABSENT
62. Wehliye, Adan Keynan, ELDAS, JUBILEE - YES
63. Abdullahi, Amina Dika, TANA RIVER COUNTY, KANU - YES
64. Guyo, Adhe Wario, NORTH HORR, KANU - ABSENT
65. Kassait, William Kamket, TIATY, KANU - YES
66. Lentoijoni, Jackson, SAMBURU EAST, KANU - YES
67. Lesuuda, Josephine Naisula, SAMBURU WEST, KANU - NO
68. Sunkuli, Julius Lekakeny Ole, KILGORIS, KANU - NO
69. Kasiwai, Rael, WEST POKOT COUNTY, KUP - YES
70. Pkosing, David Losiakou, POKOT SOUTH, KUP - NO
71. Titus, Lotee, KACHELIBA, KUP - ABSENT
72. Mule, Caleb Mutiso, MACHAKOS TOWN, MCCP - YES
73. Mutuse, Mwengi, KIBWEZI WEST, MCCP - ABSENT
74. Ochieng, David Ouma, UGENYA, MDG - YES
75. Abdi, Abdi Ali, IJARA, NAP K - YES
76. Aburi, Lawrence Mpuru, TIGANIA EAST, NOPEU - YES
77. Abdirahman, Hussein Weytan, MANDERA EAST, ODM - NO
78. Abuor, Paul, RONGO, ODM - ABSENT
79. Adow, Mohamed Aden, WAJIR SOUTH, ODM - YES
80. Amollo, Paul Otiende, RARIEDA, ODM - ABSENT
81. Samuel Onunga Atan Meli, ALEGO USONGA, ODM - NO
82. Bady, Bady Twalib, JOMVU, ODM - NO
83. Barongo, Nolfason Obadiah, BOMACHOGE BORABU, ODM - NO
84. Bedzimba, Rashid Juma, KISAUNI, ODM - NO
85. Ruth Adhiambo Odinga, KISUMU COUNTY, ODM - NO
86. Buyu, Rozaah Akinyi, KISUMU WEST, ODM - SUSPENDED
87. Chimba, Zamzam Mohamed, MOMBASA, ODM - NO
88. Elachi, Beatrice, DAGORETTI NORTH, ODM - NO
89. Farah, Yussuf Mohamed, WAJIR WEST, ODM - NO
90. Francis, Kajwang’ Tom Joseph, RUARAKA, ODM - SUSPENDED
91. Gisairo, Clive Ombane, KITUTU MASABA, ODM - NO
92. Gogo, Lilian Achieng, RANGWE, ODM - NO
93. Guyo, Ali Wario, GARSEN, ODM - NO
94. Hamisi, Kakuta Maimai, KAJIADO EAST, ODM - ABSENT
95. Hiribae, Said Buya, GALOLE, ODM - ABSENT
96. Jehow, Fatuma Abdi, WAJIR COUNTY, ODM - NO
97. Kaluma, George Peter Opondo, HOMA BAY TOWN, ODM - NO
98. Kanchory, Elijah Memusi, KAJIADO CENTRAL, ODM - NO
99. Katana, Paul Kahindi, KALOLENI, ODM - NO
100. Khodhe, Phelix Odiwuor, LANGATA, ODM - ABSENT
101. Kibagendi, Antoney, KITUTU CHACHE SOUTH, ODM - NO
102. Kiti, Richard Ken Chonga, KILIFI SOUTH, ODM - NO
103. Kombe, Harrison Garama, MAGARINI, ODM - ABSENT
104. Luyai, Caleb Amisi, SABOTI, ODM - NO
105. Machele, Mohamed Soud, MVITA, ODM - NO
106. Manduku, Daniel, NYARIBARI MASABA, ODM - ABSENT
107. Masara, Peter Francis, SUNA WEST, ODM - NO
108. Masito, Fatuma Hamisi, KWALE COUNTY, ODM - ABSENT
109. Mayaka, Irene Nyakerario, NOMINATED, ODM - ABSENT
110. Mboko, Mishi Juma Khamisi, LIKONI, ODM - NO
111. Mohamed, Abdikadir Hussein, LAGDERA, ODM - ABSENT
112. Mohamed, Junet Sheikh Nuh, SUNA EAST, ODM - NO
113. Mohamed, Umulkher Harun, NOMINATED, ODM - ABSENT
114. Mugabe, Innocent Mainoo, LIKUYANI, ODM - NO
115. Muhanda, Elsie Busihile, KAKAMEGA COUNTY, ODM - NO
116. Mukhwana, Titus Khamala, LURAMBI, ODM - ABSENT
117. Mwale, Nicholas S. Tindi, BUTERE, ODM - ABSENT
118. Mwanyanje, Gertrude Mbeyu, KILIFI COUNTY, ODM - NO
119. Mnyazi, Amina Laura, MALINDI, ODM - SUSPENDED
120. Nabii, Nabwera Daraja, LUGARI, ODM - NO
121. Nabulindo, Peter Oscar, MATUNGU, ODM - ABSENT
122. Naibun, Paul Ekwom, TURKANA NORTH, ODM - ABSENT
123. Naicca, Johnson Manya, MUMIAS WEST, ODM - ABSENT
124. Namoit, John Ariko, TURKANA SOUTH, ODM - ABSENT
125. Ng’ongo, John Mbadi, NOMINATED, ODM - ABSENT
126. Nyamita, Mark Ogolla, URIRI, ODM - ABSENT
127. Nyikal, James Wambura, SEME, ODM - NO
128. Obara, Eve Akinyi, KABONDO KASIPUL, ODM - ABSENT
129. Odanga, Geoffrey Makokha, MATAYOS, ODM - NO
130. Odege, Tom Mboya, NYATIKE, ODM - NO
131. Odhiambo, Elisha Ochieng, GEM, ODM - YES
132. Odhiambo, Millie Grace Akoth, SUBA NORTH, ODM - SUSPENDED
133. Odoyo, Okello Jared, NYANDO, ODM - NO
134. Oduor, Christine Ombaka, SIAYA COUNTY, ODM - NO
135. Ogolla, Gideon Ochanda, BONDO, ODM - ABSENT
136. Oku, Edward Kaunya, TESO NORTH, ODM - NO
137. Okuome, Andrew Adipo, KARACHUONYO, ODM - NO
138. Oluoch, Anthony Tom, MATHARE, ODM - NO
139. Omanyo, Catherine Nakhabi, BUSIA COUNTY, ODM - SUSPENDED
140. Omondi, Caroli, SUBA SOUTH, ODM - YES
141. Omwera, George Aladwa, MAKADARA, ODM - ABSENT
142. Ongili, Babu Owino Paul, EMBAKASI EAST, ODM - ABSENT
143. Orero, Peter Ochieng, KIBRA, ODM - NO
144. Oron, Joshua Odongo, KISUMU CENTRAL, ODM - NO
145. Osero, Patrick Kibagendi, BORABU, ODM - NO
146. Osogo, Bensuda Joyce Atieno, HOMA BAY COUNTY, ODM - ABSENT
147. Oundo, Wilberforce Ojiambo, FUNYULA, ODM - ABSENT
148. Owino, John Walter, AWENDO, ODM - ABSENT
149. Owino, Martin Peters Wuod Chief, NDHIWA, ODM - NO
150. Owuor, Joshua Aduma, NYAKACH, ODM - NO
151. Oyoo, James Onyango, MUHORONI, ODM - NO
152. Oyula, Joseph H. Maero, BUTULA, ODM - ABSENT
153. Passaris, Esther Muthoni, NAIROBI CITY COUNTY, ODM - YES
154. Sakimba, Parashina Samuel, KAJIADO SOUTH, ODM - ABSENT
155. Shimbwa, Omar Mwinyi, CHANGAMWE, ODM - NO
156. Shinali, Bernard Masaka, IKOLOMANI, ODM - NO
157. Wandayi, James Opiyo, UGUNJA, ODM - NO
158. Wangaya, Christopher Aseka, KHWISERO, ODM - ABSENT
159. Wangwe, Emmanuel, NAVAKHOLO, ODM - ABSENT
160. Wanjala, Raphael Sauti Bitta, BUDALANGI, ODM - NO
161. Were, Sir Charles Ong’ondo, KASIPUL, ODM - NO
162. Wetangula, Timothy Wanyonyi, WESTLANDS, ODM - NO
163. Mupe, Anthony Kenga, RABAI, PAA - YES
164. Rai, Samuel Gonzi, KINANGO, PAA - YES
165. Tungule, Charo Kenneth Kazungu, GANZE, PAA - YES
166. Kiunjuri, Festus Mwangi, LAIKIPIA EAST, TSP - YES
167. Nduyo, Susan Ngugi, THARAKA NITHI COUNTY, TSP - YES
168. Akuja, Protus Ewesit, LOIMA, UDA - YES
169. Alfah, Miruka Ondieki, BOMACHOGE CHACHE, UDA - YES
170. Ali, Abdisirat Khalif, NOMINATED, UDA - YES
171. Bader, Salim Feisal, MSAMBWENI, UDA - YES
172. Barre, Hussein Abdi, TARBAJ, UDA - ABSENT
173. Barrow, Dekow Mohamed, GARISSA TOWNSHIP, UDA - ABSENT
174. Bartoo, Phylis Jepkemoi, MOIBEN, UDA - YES
175. Baya, Owen Yaa, KILIFI NORTH, UDA - YES
176. Biego, Paul Kibichy, CHESUMEI, UDA -YES 
177. Bowen, David Kangogo, MARAKWET EAST, UDA - YES
178. Chebor, Paul Kibet, RONGAI, UDA - YES
179. Chege, John Kiragu, LIMURU, UDA - YES
180. Chelule, Liza Chepkorir, NAKURU COUNTY, UDA - YES
181. Chepkonga, Kiprono Samwel, AINABKOI, UDA - YES
182. Chepkorir, Linet Toto, BOMET COUNTY, UDA - YES
183. Chepkwony, Charity Kathambi, NJORO, UDA - YES
184. Cherorot, Joseph Kimutai, KIPKELION EAST, UDA - YES
185. Chesebe, Fred Kapondi, MT ELGON, UDA - YES
186. Chumel, Samwel Moroto, KAPENGURIA, UDA - YES
187. Double N, Pamela Njoki Njeru, EMBU COUNTY, UDA - ABSENT
188. Emathe, Joseph Namuar, TURKANA CENTRAL, UDA - YES
189. Gachagua, George N., NDARAGWA, UDA - ABSENT
190. Gachobe, Samuel Kinuthia, SUBUKIA, UDA - YES
191. Gakuya, James Mwangi, EMBAKASI NORTH, UDA - YES
192. Gathiru, Mejjadonk Benjamin, EMBAKASI CENTRAL, UDA - YES
193. Gichohi, Kaguchia John Philip, MUKURWEINI, UDA - YES
194. Gichuki, Edwin Mugo, MATHIOYA, UDA - YES
195. Gikaria, David, NAKURU TOWN EAST, UDA - YES
196. Gitari, Joseph Gachoki, KIRINYAGA CENTRAL, UDA - ABSENT
197. Gitau, Faith Wairimu, NYANDARUA COUNTY, UDA - YES
198. Githinji, Robert Gichimu, GICHUGU, UDA - YES
199. GK, George Macharia Kariuki, NDIA, UDA - YES
200. Ichung’wah, Anthony Kimani, KIKUYU, UDA - YES
201. Ikiara, Dorothy Muthoni, NOMINATED, UDA - YES
202. Iraya, Joseph Wainaina, NOMINATED, UDA - YES
203. Jhanda Zaheer, NYARIBARI CHACHE, UDA - ABSENT
204. Kagiri, Jane Wangechi, LAIKIPIA COUNTY, UDA - ABSENT
