Adagala, Beatrice Kahai, VIHIGA COUNTY, ANC - YES
Denar, Joseph Hamisi, NOMINATED, ANC - YES
Gimose, Charles Gumini, HAMISI, ANC - ABSENT
Ikana, Fredrick Lusuli, SHINYALU, ANC - YES
Injendi, Moses Malulu, MALAVA, ANC - YES
Kivai, Ernest Ogesi, VIHHIGA, ANC - YES
Omboko, Milemba Jeremiah, EMUHAYA, ANC - NO
Tandaza, Kassim Sawa, MATUGA, ANC - ABSENT
Koech, Victor Kipngetich, CHEPALUNGU, CCM - ABSENT
Baraza, Patrick Simiyu, CHERANGANY, DAP K - NO
Bisau, Maurice Kakai, KIMININI, DAP K - NO
Oyugi, Dick Maungu, LUANDA, DAP K - NO
Salasya, Peter Kalerwa, MUMIAS EAST, DAP K - ABSENT
Wamboka, Nelson Jack, BUMULA, DAP K - NO
Ruku, Geoffrey Kariuki Kiringa, MBEERE NORTH, DP - NO
Kalasinga, Joseph Simiyu Wekesa Majimbo, KABUCHAI, FORD K - ABSENT
Makali, John Okwisia, KANDUYI, FORD K - YES
Murumba, John Chikati, TONGAREN, FORD K - NO
Wambilianga, Catherine Nanjala, BUNGOMA COUNTY, FORD K - ABSENT
Wanyonyi, Ferdinand Kevin, KWANZA, FORD K - YES
Wanyonyi, Martin Pepela, WEBUYE WEST, FORD K - YES
Muli, Fabian Kyule, KANGUNDO, GDDP - ABSENT
Abdul, Rahim Dawood, NORTH IMENTI, IND - YES
Ahmed, Shakeel Ahmed Shabbir, KISUMU EAST, IND - NO
Caroline, Jeptoo Ng’elechei, ELGEYO MARAKWET, IND - YES
Karauri, Ronald Kamwiko, KASARANI, IND - ABSENT
Kitilai, Ole Ntutu, NAROK SOUTH, INDEPENDENT - YES
Kururia, Elijah Njore Njoroge, GATUNDU NORTH, IND - ABSENT
Marubu, Monicah Muthoni, LAMU COUNTY, IND - ABSENT
Mohammed, Fatuma Full Network, MIGORI COUNTY, IND - NO
Mulanya, Geoffrey Ekesa, NAMBALE, IND - YES
Mwalyo, Joshua Mbithi Mutua, MASINGA, IND - YES
Nebart, Bernard Muriuki, MBEERE SOUTH, IND - YES
Timothy, Kipchumba, MARAKWET WEST, IND - YES
Abdirahman, Mohamed Abdi, LAFEY, JUBILEE - YES
Arama, Samuel, NAKURU TOWN WEST, JUBILEE - YES
Bonaya, Mumina Gollo, ISIOLO COUNTY, JUBILEE - ABSENT
Chege, Sabina, NOMINATED, JUBILEE - SUSPENDED
Hassan, Abdi Yusuf, KAMUKUNJI, JUBILEE - YES
Ithinji, Dr. Shadrack Mwiti, SOUTH IMENTI, JUBILEE - YES
Karitho, Kiili Daniel, IGEMBE CENTRAL, JUBILEE - YES
Kiaraho, David Njuguna, OL KALOU, JUBILEE - YES
Korere, Sarah Paulata, LAIKIPIA NORTH, JUBILEE - ABSENT
Koyi, John Waluke, SIRISIA, JUBILEE - YES
Kwenya, Thuku Zachary, KINANGOP, JUBILEE - YES
Lomwa, Joseph Samal, ISOLO NORTH, JUBILEE - ABSENT
Maina, Mwago Amos, STAREHE, JUBILEE - YES
Mogaka, Stephen M., WEST MUGIRANGO, JUBILEE - YES
Mohamed, Aden Daudi, WAJIR EAST, JUBILEE - YES
Jerusha Momanyi, NYAMIRA COUNTY, ABSENT - JUBILEE
Mrembo, Irene Njoki, BAHATI, JUBILEE - YES
Muiruri, Muthama Stanley, LAMU WEST, JUBILEE - ABSENT
Mwenje, Mark Muriithi, EMBAKASI WEST, JUBILEE - NO
Ngikolong, Nicholas, TURKANA EAST, JUBILEE - YES
Nyamai, Rachael Kaki, KITUI SOUTH, JUBILEE - YES
Obo, Ruweida Mohamed, LAMU EAST, JUBILEE - ABSENT
Pareiyo, Agnes Mantaine, NAROK NORTH, JUBILEE - YES
Shake, Peter Mbogho, MWATATE, JUBILEE - NO
Shurie, Abdi Omar, BALAMBALA, JUBILEE - ABSENT
Siyad, Amina Udgoon, GARISSA, JUBILEE - ABSENT
Tubi, Bidu Mohamed, ISIOLO SOUTH, JUBILEE - ABSENT
Wehliye, Adan Keynan, ELDAS, JUBILEE - YES
Abdullahi, Amina Dika, TANA RIVER COUNTY, KANU - YES
Guyo, Adhe Wario, NORTH HORR, KANU - ABSENT
Kassait, William Kamket, TIATY, KANU - YES
Lentoijoni, Jackson, SAMBURU EAST, KANU - YES
Lesuuda, Josephine Naisula, SAMBURU WEST, KANU - NO
Sunkuli, Julius Lekakeny Ole, KILGORIS, KANU - NO
Kasiwai, Rael, WEST POKOT COUNTY, KUP - YES
Pkosing, David Losiakou, POKOT SOUTH, KUP - NO
Titus, Lotee, KACHELIBA, KUP - ABSENT
Mule, Caleb Mutiso, MACHAKOS TOWN, MCCP - YES
Mutuse, Mwengi, KIBWEZI WEST, MCCP - ABSENT
Ochieng, David Ouma, UGENYA, MDG - YES
Abdi, Abdi Ali, IJARA, NAP K - YES
Aburi, Lawrence Mpuru, TIGANIA EAST, NOPEU - YES
Abdirahman, Hussein Weytan, MANDERA EAST, ODM - NO
Abuor, Paul, RONGO, ODM - ABSENT
Adow, Mohamed Aden, WAJIR SOUTH, ODM - YES
Amollo, Paul Otiende, RARIEDA, ODM - ABSENT
Samuel Onunga Atan Meli, ALEGO USONGA, ODM - NO
Bady, Bady Twalib, JOMVU, ODM - NO
Barongo, Nolfason Obadiah, BOMACHOGE BORABU, ODM - NO
Bedzimba, Rashid Juma, KISAUNI, ODM - NO
Ruth Adhiambo Odinga, KISUMU COUNTY, ODM - NO
Buyu, Rozaah Akinyi, KISUMU WEST, ODM - SUSPENDED
Chimba, Zamzam Mohamed, MOMBASA, ODM - NO
Elachi, Beatrice, DAGORETTI NORTH, ODM - NO
